-------------------------------------
normal

n = 20    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;0.000606    ;-0.009585   ;-0.007023   ;-0.007784   ;0.004430    ;
D =       ;0.052691    ;0.076474    ;0.144917    ;0.055418    ;0.056566    ;

n = 60    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.002042   ;0.000216    ;0.013018    ;0.006603    ;0.004075    ;
D =       ;0.017188    ;0.026791    ;0.109777    ;0.021245    ;0.018664    ;

n = 100   ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.003507   ;0.007790    ;0.013722    ;-0.001669   ;0.000599    ;
D =       ;0.009254    ;0.016111    ;0.094769    ;0.011778    ;0.012439    ;
-------------------------------------
cauchy

n = 20    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.043130   ;-0.001957   ;61.802263   ;0.004207    ;-0.007182   ;
D =       ;1032.558776 ;0.142539    ;1644322.250337;0.320792    ;0.142564    ;

n = 60    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;0.721806    ;-0.001376   ;-17.827916  ;0.000915    ;-0.007949   ;
D =       ;215.066990  ;0.044444    ;304006.541545;0.088190    ;0.050352    ;

n = 100   ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;1.254081    ;0.000906    ;-112.831615 ;-0.007872   ;-0.006680   ;
D =       ;4786.694038 ;0.026019    ;6004822.425623;0.052977    ;0.027696    ;
-------------------------------------
laplace

n = 20    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.003147   ;-0.004513   ;-0.006982   ;0.001238    ;-0.006276   ;
D =       ;0.051365    ;0.033966    ;0.408960    ;0.044487    ;0.031387    ;

n = 60    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.003362   ;0.001695    ;-0.001097   ;-0.000318   ;-0.002704   ;
D =       ;0.017288    ;0.010136    ;0.417103    ;0.016946    ;0.010569    ;

n = 100   ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.005305   ;-0.001713   ;0.017355    ;-0.001038   ;0.000442    ;
D =       ;0.009673    ;0.006195    ;0.374188    ;0.009644    ;0.006047    ;
-------------------------------------
uniform

n = 20    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.002178   ;0.003813    ;0.003346    ;-0.004043   ;-0.001196   ;
D =       ;0.048075    ;0.131859    ;0.012813    ;0.071529    ;0.087971    ;

n = 60    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.002879   ;-0.000992   ;-0.002064   ;-0.006306   ;-0.002108   ;
D =       ;0.017674    ;0.046725    ;0.001723    ;0.023605    ;0.033269    ;

n = 100   ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;-0.001110   ;0.002446    ;-0.000630   ;0.006187    ;-0.004373   ;
D =       ;0.009942    ;0.029228    ;0.000606    ;0.014852    ;0.020366    ;
-------------------------------------
poisson

n = 20    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;2.000350    ;1.841500    ;2.524000    ;1.887750    ;1.847900    ;
D =       ;0.092242    ;0.180128    ;0.286924    ;0.130994    ;0.123776    ;

n = 60    ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;1.998517    ;1.923500    ;2.946500    ;1.932500    ;1.842233    ;
D =       ;0.033310    ;0.065898    ;0.254388    ;0.032850    ;0.042606    ;

n = 100   ;average     ;med         ;Zr          ;Zq          ;Ztr r = n/4 ;
E =       ;2.004410    ;1.960000    ;3.174500    ;1.970625    ;1.846600    ;
D =       ;0.019905    ;0.032400    ;0.230300    ;0.015465    ;0.029170    ;
